Ананьєв;Сергій;Федорович;"Політична партія ""Рух Нових Сил Михайла Саакашвілі""";№82
Ананян;Елізабет;Гариківна;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№172
Андреєв;Сергій;Вікторович;"політична партія Всеукраїнське об’єднання ""Свобода""";№206
Андрейко;Віталій;Васильович;"Політична Партія ""ГОЛОС""";№122
Андрейчук;Наталія;Василівна;"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""";№98
Андрєєв;Андрій;Сергійович;"Політична партія ""Європейська Солідарність""";№35
Андрєєв;Олексій;Вікторович;"Політична партія ""Рух Нових Сил Михайла Саакашвілі""";№171
Андрєєнков;Віктор;Володимирович;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№57
Андрієвський;Дмитро;Йосипович;Самовисування;№222
Андрієнко;Ігор;Олегович;Аграрна партія України;№56
Андріїв;Андрій;Євстахович;Самовисування;№68
Андріїв;Богдан;Євстафійович;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№7
Андрійко;Руслан;Юрійович;"політична партія Всеукраїнське об’єднання ""Свобода""";№211
Андрійович;Зіновій;Мирославович;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№87
Андрійович;Михайло;Васильович;Самовисування;№87
Андрійцев;Богдан;Вікторович;Самовисування;№131
Андрійченко;Олексій;Дмитрович;Самовисування;№27
Андрійчук;Ілля;Олександрович;Самовисування;№97
Андріюк;Лілія;Вікторівна;"політична партія Всеукраїнське об’єднання ""Свобода""";№206
Андрусяк;Юрій;Ілліч;Самовисування;№201
Андрух;Віталій;Васильович;Самовисування;№159
Андрущенко;Андрій;Олександрович;"політична партія ""Громадянська позиція""";№119
Андрущенко;Світлана;Вікторівна;"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""";№28
Андрюк;Андрій;Васильович;"політична партія Всеукраїнське об’єднання ""Батьківщина""";№73
Андрющенко;Андрій;Миколайович;"Політична партія ""Європейська Солідарність""";№99
Андрющенко;Володимир;Володимирович;Самовисування;№174
Анісімов;Анатолій;Миколайович;"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""ФАКЕЛ""";№34
Аністратенко;Олександр;Григорович;Самовисування;№105
Аністратенко;Яна;Леонідівна;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№58
